cell_id,date,ndvi_mean
25,2023-06-09,0.48148003
25,2023-06-19,0.4852396
25,2023-06-24,0.48345855
25,2023-06-29,0.4919644
25,2023-07-04,0.50376326
25,2023-07-09,0.50022596
25,2023-07-14,0.21931428
25,2023-07-19,0.46262538
25,2023-07-24,0.47188655
25,2023-08-03,0.49195403
25,2023-08-18,0.5089618
25,2023-08-23,0.37312964
25,2023-08-28,0.49903193
25,2023-09-22,0.49075308
25,2023-09-27,0.50443757
25,2023-10-02,0.5115248
25,2023-11-11,0.51743406
25,2023-11-16,0.53364444
25,2023-12-06,0.5302462
26,2023-05-15,0.4867555
26,2023-06-04,0.49505702
26,2023-06-09,0.48924357
26,2023-06-19,0.49311805
26,2023-06-24,0.49245983
26,2023-06-29,0.5002911
26,2023-07-04,0.51013374
26,2023-07-09,0.50625694
26,2023-07-14,0.3667397
26,2023-07-19,0.46036154
26,2023-07-24,0.48540193
26,2023-08-03,0.49665925
26,2023-08-18,0.512608
26,2023-08-23,0.44141215
26,2023-08-28,0.50008607
26,2023-09-22,0.4948389
26,2023-09-27,0.50542665
26,2023-10-02,0.50438637
26,2023-11-11,0.51200813
26,2023-11-16,0.52550465
26,2023-12-06,0.5266263
27,2023-05-15,0.48621422
27,2023-06-04,0.4974213
27,2023-06-09,0.4895802
27,2023-06-19,0.49363732
27,2023-06-24,0.49325004
27,2023-06-29,0.501865
27,2023-07-04,0.51047814
27,2023-07-09,0.50607944
27,2023-07-14,0.38998353
27,2023-07-19,0.47506267
27,2023-07-24,0.491227
27,2023-08-03,0.49669206
27,2023-08-18,0.5092387
27,2023-08-23,0.4585057
27,2023-08-28,0.49619776
27,2023-09-22,0.49192166
27,2023-09-27,0.5033658
27,2023-10-02,0.5029107
27,2023-11-11,0.5112482
27,2023-11-16,0.4294294
27,2023-12-06,0.5255162
28,2023-05-15,0.48437086
28,2023-06-04,0.4863124
28,2023-06-09,0.48730367
28,2023-06-19,0.49194437
28,2023-06-24,0.49198088
28,2023-06-29,0.50260615
28,2023-07-04,0.51306456
28,2023-07-09,0.5093823
28,2023-07-14,0.05761111
28,2023-07-19,0.47859907
28,2023-07-24,0.4995923
28,2023-08-03,0.50364864
28,2023-08-18,0.5171025
28,2023-08-23,0.46350956
28,2023-08-28,0.5009926
28,2023-09-22,0.49372542
28,2023-09-27,0.5058631
28,2023-10-02,0.50663215
28,2023-11-11,0.5119346
28,2023-11-16,0.49202153
28,2023-12-06,0.5225987
29,2023-05-15,0.48245302
29,2023-06-04,0.49601737
29,2023-06-09,0.485337
29,2023-06-19,0.48943403
29,2023-06-24,0.4904214
29,2023-06-29,0.5005717
29,2023-07-04,0.5093683
29,2023-07-09,0.5062797
29,2023-07-14,0.19219775
29,2023-07-19,0.4786096
29,2023-07-24,0.49434587
29,2023-08-03,0.49965644
29,2023-08-18,0.5128179
29,2023-08-23,0.46558887
29,2023-08-28,0.49541458
29,2023-09-22,0.4931436
29,2023-09-27,0.50246763
29,2023-10-02,0.5067236
29,2023-11-11,0.51414865
29,2023-11-16,0.5276106
29,2023-12-06,0.5237046
30,2023-05-15,0.48520997
30,2023-06-04,0.49846283
30,2023-06-09,0.48889986
30,2023-06-19,0.49097282
30,2023-06-24,0.49241695
30,2023-06-29,0.4998661
30,2023-07-04,0.5081646
30,2023-07-09,0.5053666
30,2023-07-14,0.5016768
30,2023-07-19,0.46899736
30,2023-07-24,0.49022007
30,2023-08-03,0.49343163
30,2023-08-18,0.5081494
30,2023-08-23,0.45558745
30,2023-08-28,0.489437
30,2023-09-22,0.48948207
30,2023-09-27,0.4977366
30,2023-10-02,0.50503695
30,2023-11-11,0.5123939
30,2023-11-16,0.5231509
30,2023-12-06,0.5248102
31,2023-05-15,0.40689948
31,2023-06-04,0.4161727
31,2023-06-09,0.407634
31,2023-06-19,0.40674528
31,2023-06-24,0.40793473
31,2023-06-29,0.41565093
31,2023-07-04,0.42248794
31,2023-07-09,0.4206936
31,2023-07-14,0.4065811
31,2023-07-19,0.37345758
31,2023-07-24,0.40347233
31,2023-08-03,0.4094716
31,2023-08-18,0.42379737
31,2023-08-23,0.38013017
31,2023-08-28,0.40676057
31,2023-09-22,0.40635774
31,2023-09-27,0.411444
31,2023-10-02,0.41958642
31,2023-11-11,0.43121013
31,2023-11-16,0.4400009
31,2023-12-06,0.4406945
32,2023-05-15,0.18470713
32,2023-06-04,0.18996745
